trackId,event,seq,startUs,startSec,ptsMs,durationMs,extra
2,mdat,2,28482,0.8126598639455781,,22546.57596371849,474
2,moof,2,28956,0.028956,,,frames=971
2,mdat,2,28956,0.8126598639455781,,22546.57596371849,483
2,moof,2,29439,0.029439,,,frames=971
2,mdat,2,29439,0.8126598639455781,,22546.57596371849,481
2,moof,2,29920,0.02992,,,frames=971
2,mdat,2,29920,0.8126598639455781,,22546.57596371849,482
2,moof,2,30402,0.030402,,,frames=971
2,mdat,2,30402,0.8126598639455781,,22546.57596371849,478
2,moof,2,30880,0.03088,,,frames=971
2,mdat,2,30880,0.8126598639455781,,22546.57596371849,473
2,moof,2,31353,0.031353,,,frames=971
2,mdat,2,31353,0.8126598639455781,,22546.57596371849,482
2,moof,2,31835,0.031835,,,frames=971
2,mdat,2,31835,0.8126598639455781,,22546.57596371849,485
2,moof,2,32320,0.03232,,,frames=971
2,mdat,2,32320,0.8126598639455781,,22546.57596371849,481
2,moof,2,32801,0.032801,,,frames=971
2,mdat,2,32801,0.8126598639455781,,22546.57596371849,476
2,moof,2,33277,0.033277,,,frames=971
2,mdat,2,33277,0.8126598639455781,,22546.57596371849,488
2,moof,2,33765,0.033765,,,frames=971
2,mdat,2,33765,0.8126598639455781,,22546.57596371849,486
2,moof,2,34251,0.034251,,,frames=971
2,mdat,2,34251,0.8126598639455781,,22546.57596371849,472
2,moof,2,34723,0.034723,,,frames=971
2,mdat,2,34723,0.8126598639455781,,22546.57596371849,493
2,moof,2,35216,0.035216,,,frames=971
2,mdat,2,35216,0.8126598639455781,,22546.57596371849,469
2,moof,2,35685,0.035685,,,frames=971
2,mdat,2,35685,0.8126598639455781,,22546.57596371849,479
2,moof,2,36164,0.036164,,,frames=971
2,mdat,2,36164,0.8126598639455781,,22546.57596371849,467
2,moof,2,36631,0.036631,,,frames=971
2,mdat,2,36631,0.8126598639455781,,22546.57596371849,481
2,moof,2,37112,0.037112,,,frames=971
2,mdat,2,37112,0.8126598639455781,,22546.57596371849,475
2,moof,2,37587,0.037587,,,frames=971
2,mdat,2,37587,0.8126598639455781,,22546.57596371849,481
2,moof,2,38068,0.038068,,,frames=971
2,mdat,2,38068,0.8126598639455781,,22546.57596371849,474
2,moof,2,38542,0.038542,,,frames=971
2,mdat,2,38542,0.8126598639455781,,22546.57596371849,483
2,moof,2,39025,0.039025,,,frames=971
2,mdat,2,39025,0.8126598639455781,,22546.57596371849,473
2,moof,2,39498,0.039498,,,frames=971
2,mdat,2,39498,0.8126598639455781,,22546.57596371849,492
2,moof,2,39990,0.03999,,,frames=971
2,mdat,2,39990,0.8126598639455781,,22546.57596371849,464
2,moof,2,40454,0.040454,,,frames=971
2,mdat,2,40454,0.8126598639455781,,22546.57596371849,481
2,moof,2,40935,0.040935,,,frames=971
2,mdat,2,40935,0.8126598639455781,,22546.57596371849,482
2,moof,2,41417,0.041417,,,frames=971
2,mdat,2,41417,0.8126598639455781,,22546.57596371849,479
2,moof,2,41896,0.041896,,,frames=971
2,mdat,2,41896,0.8126598639455781,,22546.57596371849,475
2,moof,2,42371,0.042371,,,frames=971
2,mdat,2,42371,0.8126598639455781,,22546.57596371849,491
2,moof,2,42862,0.042862,,,frames=971
2,mdat,2,42862,0.8126598639455781,,22546.57596371849,479
2,moof,2,43341,0.043341,,,frames=971
2,mdat,2,43341,0.8126598639455781,,22546.57596371849,486
2,moof,2,43827,0.043827,,,frames=971
2,mdat,2,43827,0.8126598639455781,,22546.57596371849,486
2,moof,2,44313,0.044313,,,frames=971
2,mdat,2,44313,0.8126598639455781,,22546.57596371849,481
2,moof,2,44794,0.044794,,,frames=971
2,mdat,2,44794,0.8126598639455781,,22546.57596371849,472
2,moof,2,45266,0.045266,,,frames=971
2,mdat,2,45266,0.8126598639455781,,22546.57596371849,483
2,moof,2,45749,0.045749,,,frames=971
2,mdat,2,45749,0.8126598639455781,,22546.57596371849,472
2,moof,2,46221,0.046221,,,frames=971
2,mdat,2,46221,0.8126598639455781,,22546.57596371849,482
2,moof,2,46703,0.046703,,,frames=971
2,mdat,2,46703,0.8126598639455781,,22546.57596371849,474
2,moof,2,47177,0.047177,,,frames=971
2,mdat,2,47177,0.8126598639455781,,22546.57596371849,472
2,moof,2,47649,0.047649,,,frames=971
2,mdat,2,47649,0.8126598639455781,,22546.57596371849,482
